"","X","text","score","polarity"
"31",31,"donald trump announces candidacy president dw november ",0,"Netral"
"32",32," christian petition donald trumps bid amassed thousands signatures ",0,"Netral"
"34",34," next couple years going fun watch gop infighting people turning back tfg ",1,"Positif"
"35",35,"trump didnt clear field campaign smiling ",0,"Netral"
"36",36," national security adviser brands old tired ",0,"Netral"
"38",38," lose youll see dtrump trump announces hes running president typical fascist ",-1,"Negatif"
"39",39," want donald trump want ron desantis trying keep republican smart people ",1,"Positif"
"40",40," seen archrival president donald trump began campaign reelection month seeking republican party nomination desantis announce intentions ",0,"Netral"
"41",41," crying loud bashing trump fuentes near maralago newsweek suddenly wants care fuentes thinks trump running given damn fuentes thinks im going start now ",-2,"Negatif"
"42",42," wait cast vote donald trump president ",0,"Netral"
"43",43," world changed trump ",0,"Netral"
"44",44,"extrump official predicts donald trump lose real scared president trump will win sore loser americans trump ",-2,"Negatif"
"45",45,"christian petition donald trumps run signed thousands ",0,"Netral"
"47",47,"holocaust denier nick fuentes turns trump calls new candidate americans haters white rich curious misnomer nation stands cockroaches society",0,"Netral"
"48",48,"easiest beat democrats hope donald will republicans choice ",0,"Netral"
"49",49,"fuentes criticized president attended dinner maralago resort tuesday night ",-1,"Negatif"
"54",54," lindsey graham pulled ambush trump talking woodward interview remember donald will continue attacked angles takes office snake heads will bitten fear runs deep election steal ",-2,"Negatif"
"55",55,"exadviser assesses trumps chances president drag republican party candidates john bolton warns president donald trump may fail win second term ",-1,"Negatif"
"56",56,"newsom pledges run biden doesnt birds feather",0,"Netral"
"58",58," nick fuentes turns donald trump calls new candidate fuentes criticized president attended dinner maralago resort tuesday night ",-1,"Negatif"
"59",59,"nick fuentes turns donald trump calls new candidate fuentes criticized president attended dinner maralago resort tuesday night ",-1,"Negatif"
"61",61," elections will steal trump team planned donald trumps pakagehe didnt win bought presidency republicans stold clinton email planned will steal elections help putin eisenberg",0,"Netral"
"62",62," national security adviser brands trump old tired washington examiner ",0,"Netral"
"63",63," dont like donald trump may vote reprehensible baggage see gt ",0,"Netral"
"64",64," wins reelection honestly fraudulently defeated donald trump set standard honesty sincerity courage can match ",5,"Positif"
"65",65," dont donald trump president hell ruin united states",-1,"Negatif"
"66",66,"exadviser assesses trumps chances president drag republican party candidates john bolton warns may president donald trump fail win second term hurt rep",-2,"Negatif"
"67",67,"disgraced rapper kanye west confirms presidential bid unveiling campaign asking donald trump vice president ",0,"Netral"
"68",68," setback donald trump matter ",-1,"Negatif"
"69",69,"heres proof donald trump doesnt care republican party cnnpolitics ",0,"Netral"
"70",70,"republican trump days ago announced running election banned jan twitter previous owners ",0,"Netral"
"71",71," kanye west donald trump tor battle presidential election wins ",0,"Netral"
"72",72," americans scared refuse speak voice will remain silentplease voice reelect rightful president donald trump",-1,"Negatif"
"73",73,"christie trumps meme nightingale fuentes just excitement awful lag jump donald trump combined pat populist judgments untenable genocide elevator canon republican passive ",-3,"Negatif"
"74",74," voted biden open borders defund police antiamerican green new deal socialism voted donald trump choice desantis ",0,"Netral"
"75",75," twitters chief twit billionaire elon musk hinted backing president donald trumps opposition upcoming elections ",-1,"Negatif"
"76",76,"kanye west says donald trump screamed dinner maralago telling will lose runs president ",-1,"Negatif"
"77",77," donald trump notorious liar sadly believes lies reelected problem meet nick fuentes bevor election will meet nick fuentes far right meet ",-1,"Negatif"
"78",78,"attorney general merrick garland named smith special counsel ensuring politicized investigation nowcandidate donald trump associates will continue well election campaign ",1,"Positif"
"79",79," misogynistic homophobic groyper extremist milo yiannopoulos banned australia new righthand man ",-1,"Negatif"
"80",80," change past current event future implications theres still question pending ok donald trump dinner known antisemites armed new will vote bother ",-1,"Negatif"
"81",81," long live donald trump ussr im now expecting trump emancipate americans ymca america great love soviet union china great communists ",1,"Positif"
"83",83,"long live donald trump ussr im now expecting trump emancipate americans ymca america great love soviet union china great communists ",1,"Positif"
"84",84,"donald trump just big surprise ",0,"Netral"
"85",85," aint man looking spry cos question ill dare whos asking ",0,"Netral"
"87",87," swipes donald trump first presidential campaign video ",0,"Netral"
"89",89,"elon musk will support donald trumps rival ron desantis presidential elections ",0,"Netral"
"91",91," object republican defeat joe biden donald trump hasnt won election wise move candidate lost political race congressman ran governor ",1,"Positif"
"92",92,"donald trump keep america great huge hit pool float summer presidential floats inflatable ring swimming tube ohzqk ",0,"Netral"
"93",93," just record donald trump dont bother running president dont waste time dont want criminal dont want scumbag dont want going betray enemy ",-5,"Negatif"
"95",95," shit opinion desantis worse donald trump hes smarter younger donald trump wouldnt vote blue ",-2,"Negatif"
"96",96," just example awful lack judgment donald trump combined past poor judgments untenable general election candidate republican party saidchris christie governor nj ",-4,"Negatif"
"97",97,"donald trump kanye west pretending run president media willing help promote fake campaign time theyre attacking screwing con ",0,"Netral"
"98",98,"meet likely rival supporting read ",0,"Netral"
"99",99,"president donald trump full total endorsement ",1,"Positif"
"101",101,"meet ron desantis likely rival donald trump presidential elections elon musk supporting ",0,"Netral"
"102",102,"elon musk support donald trumps rival ron desantis prez race indiablooms first portal digital news management ",0,"Netral"
"103",103," theres zero doubt mind donald trump will republican nominee opinion think ivanka nice tits",0,"Netral"
"104",104,"kanye west says donald trump screamed dinner maralago telling will lose runs president hey black white paint can see ",-1,"Negatif"
"105",105," zero problem donald trump elected president come last elected president socialists selectively blotting past can reinvent reimagine past",-1,"Negatif"
"106",106," supposed consequential election lifetime now pundits exaggerating election donald trump alive prison existential risk united states",-2,"Negatif"
"107",107,"keep friends close enemies closer thats trumps thinking kanye west says donald trump screamed dinner maralago telling will lose runs president ",-2,"Negatif"
"108",108,"kanye west asked donald trump running mate ",0,"Netral"
"109",109,"kanye west says asked donald trump presidential running mate ",0,"Netral"
"110",110," gheeze current economy disastrous border horrendous relations countries right now gods name vote donald trump flipping kidding trump ",-1,"Negatif"
"111",111," definition corrupt politician donald trump guarantee donald trump will absolutely lose presidential election deal youre smart ",0,"Netral"
"112",112," didnt say wouldnt support donald trump election long ways im hoping donald trump desantis ticket",1,"Positif"
"113",113,"donald trump running president ",0,"Netral"
"114",114," lol laughs keep coming donald trumpmel gibson ",0,"Netral"
"115",115," yeah agree still threw donald trump wolves fraudulent election run vote going orange man ",-1,"Negatif"
"117",117,"desantis seen potential challenger president donald trump field republican presidential candidates trump announced days ago run election ",0,"Netral"
"118",118," kari successful governor hope donald trump asks vp running mate presidential run needs firebrand stand side",1,"Positif"
"119",119," bs gop wants america believe theres return normal gop ron desantis worse donald trump half brain hes liar meanspirited unlikable hater wanna dictator look hes florida now run potus ",-2,"Negatif"
"120",120," trump taught trump university fpotus version confused defunct trump university advanced grifting trick marks lifelong commitments favorite class republicans call donald jr apply",-2,"Negatif"
"121",121," trump hater republicans need realize ron desantis donald trumps man formally announced hes running want gop win trump",0,"Netral"
"122",122,"amendment xiv section republican senators congressmen expecting midterm elections end republicans controlling houses disability clause amendment xiv section last line insure donald trump run president ",0,"Netral"
"123",123," yetrump know donald look tried build wall failed kanye can win just kept losing trump",-1,"Negatif"
"124",124," commentary true republicans democrats donald trump prominent republican acknowledged extraordinary level corruption beneficiaries corruption may fear ",-1,"Negatif"
"125",125," donald john trump trump saving america best come best president modern history",2,"Positif"
"126",126," ",0,"Netral"
"127",127,"dick morris explains ron desantis will strategically run president donald trump currently leading polls joe biden crazy think hed able run ",0,"Netral"
"128",128," time see bs like strengthens resolved vote donald trump keep lies coming erica youre helping ",2,"Positif"
"129",129," kanye west says trump screamed dinner telling will lose runs president losing just given thinking hed carry state asking hes insane",-1,"Negatif"
"130",130," disgraced rapper formally known kanye west unveiled presidential campaign asking donald trump vice president ",-1,"Negatif"
"131",131," event trump indicted desantis nominee needs dem talking points win dont mind desantis win donald trump dont know desantis will potus extremely glad donald trump didnt win",1,"Positif"
"132",132,"jeb bush paul ryan backing desantis desantis accepts backing runs president knowing hate donald trump desantis trusted hypocritical trump helped stand trump let sink ",-2,"Negatif"
"133",133," gop donald trump mjt need people believe order win ",1,"Positif"
"134",134," question wasnt support ron desantis mr musk maybe support donald trump ",2,"Positif"
"135",135," donald trump run reelection just trigger conservatives",0,"Netral"
"136",136,"donald trump definition corrupt politician guarantee donald trump will absolutely lose presidential election betrayer disgraceful traitor shouldnt president ",0,"Netral"
"137",137," just forgets son died lmfao joe biden donald trump going win going addict son lmfao",-1,"Negatif"
"138",138," president donald trump just made decision ",0,"Netral"
"140",140," source familiar dinner conversation dinner grew heated announced run president thursday asked trump running mate trump began insulting yes exwife kim kardashian according ",-1,"Negatif"
"141",141,"donald making political comeback can gain relevance twitter ",1,"Positif"
"142",142," kanye wests new presidential campaign buddy milo yiannopoulos ",0,"Netral"
"143",143," donald trump will lose presidential election ",0,"Netral"
"146",146," can manipulate manipulate america stand donald trump pray will ",-2,"Negatif"
"147",147," losers civil discussion ",-1,"Negatif"
"148",148,"elon musk support ron desantis republican governor florida ran president ",1,"Positif"
"149",149," fully support husband president donald trump presidency ",1,"Positif"
"150",150,"donald trump knows announcement november th running president didnt bring attention looking matter resent president hijacking presidential election hoping ",-1,"Negatif"
"151",151," william clinton barack obama joseph biden george bush donald trump ",0,"Netral"
"152",152," desantis president definitely ready rhat president will donald trump ",0,"Netral"
"153",153," dont read twitter facebook spread lies like republicans maga look using real credible sources republicans havent finished investigations ",1,"Positif"
"154",154,"elon musk says will back rival donald trump runs forpresident ",-1,"Negatif"
"155",155," announces presidential bid dinner president donald trump ",0,"Netral"
"156",156," donald trump potus exposed corruption levels government fbi cia msm needs win finish job youd think ",0,"Netral"
"158",158,"gives whole new meaning worlds biggest loser noted political loser donald trump announces plan lose presidential race ",-2,"Negatif"
"161",161," media new coverage states report donald trumps criminal mentality guarantee donald trump will absolutely lose presidential election fox news trump thats ",0,"Netral"
"162",162," donald trump loves america period trump ",1,"Positif"
"163",163,"donald trump running comedy heaven ",0,"Netral"
"164",164," announces presidential bid dinner president donaldtrump ",0,"Netral"
"165",165,"ivanka trump bails wont work donald trump presidential campaign ",0,"Netral"
"166",166," now understand great donald trump trump ",1,"Positif"
"167",167," donald trump week dinner kanye west prominent black voice presidential candidate adviser future president dinner maralago nick fuentes controversial figure mr trump unaware mr fuentes attend",0,"Netral"
"168",168," im going stay right elon american support america god bless donald trump ",3,"Positif"
"169",169," im puzzled support bec agree hands dont shoot concept brought back donald trumpi didnt think voted trump plan vote trump ",1,"Positif"
"170",170," maybe damn sure didnt take donald trump years traitor thief accomplished short time trumpye ",-1,"Negatif"
"171",171,"okay just eventful will ",1,"Positif"
"172",172,"donald trumps fake campaign tanking ",-1,"Negatif"
"173",173," gop megadonors distance donald trump fking nickel ",0,"Netral"
"174",174," chris christie slams trump meeting nick fuentes just example awful lack judgment donald trump combined past poor judgments untenable general election candidate republican party ",-4,"Negatif"
"176",176," let begin dont think ron desantis will run think buy votes shows can florida person can end ds donald trump let finish ron can hold ",0,"Netral"
"177",177," support donald trump admire standing parties like trust will support will vote ",5,"Positif"
"178",178," president donald trump hosted white nationalist holocaust denier nick fuentes rapper kanye west maralago estate week ",0,"Netral"
"179",179," fun filled presidential candidate donald trump nazis thansgiving table know donate republican party extra bonus giving scumbags voice",1,"Positif"
"180",180,"rapper west announced social media thursday running office president united states ",0,"Netral"
"181",181," trump national security adviser branded exboss old tired candidate urging gop seek fresh face ",0,"Netral"
"182",182,"says lake lost election denies election integrity trump told trump actively plotting steal midterm elections next presidential trump scheming challenge elections dont way ",-2,"Negatif"
"184",184," says lake lost election denies election integrity trump told trump actively plotting steal midterm elections next presidential trump scheming challenge elections dont way ",-2,"Negatif"
"185",185," donald trump terrific job years will gladly vote ",2,"Positif"
"186",186," source bros msm pushes major concerns trump article tell wont flattering know wife ",1,"Positif"
"187",187," donald trump nominee biden will soundly elected",1,"Positif"
"188",188,"newsom pledges run biden doesnt ",0,"Netral"
"189",189,"extrump official predicts donald trump lose ",0,"Netral"
"190",190," doused gasoline lit match political commentator hasan piker reacts kanye west announcing presidency second person donald trump ",0,"Netral"
"191",191," governor desantis donald trumps vice president californians desantis president ",-1,"Negatif"
"192",192," case donald trump ",0,"Netral"
"193",193,"kanye west believes can tell told donald trump vp running mate screamed west now telling elon musk run twitter avail exwife kim now worth times ",1,"Positif"
"197",197," happened restoring soul nation joe biden counted condemn donald trumps meeting fcking neonazi nick fuentes leave can",-1,"Negatif"
"198",198," president donald trumps campaign announcement dud according new survey found support hypothetical republican field weakened bit course week ",1,"Positif"
"199",199," proud republican donald trump great president will great president ",3,"Positif"
"200",200," wish drop face earth kanye west says donald trump screamed dinner maralago telling will lose runs president ",-1,"Negatif"
"201",201," happened restoring soul nation joe biden relied comment donald trumps meeting fcking neonazi nick fuentes leave can ",0,"Netral"
"202",202," asked trump went well kanye west says asked donald trump presidential running mate ",1,"Positif"
"203",203,"question donald trump supporters democrats stole election whats keep stealing election just curious",-2,"Negatif"
"204",204," donald trump rlkdznk ",0,"Netral"
"206",206," asked trump running mate heated trump perturbed request angered trumps criticism estranged wife kim kardashian trump impressed nick fuentes ",-1,"Negatif"
"209",209," taking bipolar meds ",0,"Netral"
"210",210,"kanye west says asked donald trump presidential running mate meeting presidents florida estate week ",0,"Netral"
"211",211," prosecution trump like muellers prosecution onetime trump campaign chairman paul manafort indicted months muellers appointment investigative work ",2,"Positif"
"212",212," started screaming kanye trump fiery clash ",0,"Netral"
"213",213," laughing stock world donald trump jr blasted father donald trump announces presidential run ",0,"Netral"
"214",214," course means charge government now charge healthcare imagine republicans donald trump reelected now choose healthcare like",0,"Netral"
"215",215,"rapper asks president united states donald trump vp election headline years ago",0,"Netral"
"217",217,"poll holds point lead gop primary field ",0,"Netral"
"220",220,"elon musk says will back trump rival ron desantis runs president elonmusk ",-1,"Negatif"
"221",221,"donald trump keeps boosting theory holds global cabal pedophiles control world pursue immortality extracting juvenile hormones normal stuff whos running president ",0,"Netral"
"222",222," may fire ready gridley wouldnt surprised justice department waited georgia senate runoff dec overt steps indictment execution search warrant arrest ",0,"Netral"
"223",223,"elon musk friday support president donald trumps rival ron desantis florida governor runs presidential office ",0,"Netral"
"224",224," best president donald trump will voting trump need remove buiding yesterday ones fuck",0,"Netral"
"225",225," see evidence donald trump kind momentum heading ",0,"Netral"
"226",226," man donald trump president promised plus democrats vote democrat politicians think ignorant look country",1,"Positif"
"227",227," just example awful lack judgment donald combined past poor judgments untenable general election candidate republican party chris christie ",-4,"Negatif"
"228",228,"can imagine gall invited dinner expect trump running mate kanye west says donald trump screamed dinner maralago telling will lose runs president ",-1,"Negatif"
"229",229," bob tells need know donald trump hes fascist company keep says america rejected itll reject hes nominee ",-3,"Negatif"
"230",230," ron desantis decides run president support elon musk early presidential cycle early candidates announce running far official candidate donald trump joe biden ",1,"Positif"
"231",231,"inside ivanka trump jared kushners gilded florida paradisefar donald trump ",0,"Netral"
"232",232," donald trump supporters clear present danger american democracy thats bc happened january th bc day trump allies attempt overturn election possibly succeed says retired judge michael luttigr",-1,"Negatif"
"236",236," rupert paying selfsatirize daily memo murdoch global enterprise moved standardbearers ",0,"Netral"
"238",238,"kanye west posted videos twitter thursday suggesting presidential run ",0,"Netral"
"239",239," breaking hillary clinton lead lock chants democratic national convention donald trump handcuffs big screen ",1,"Positif"
"240",240,"kanye west announces presidential bid ",0,"Netral"
"241",241,"mr trump albatross now ego directing run oval office gold like old entertainer responding smell greasepaint audiences dwindling catcalls resounding ",-1,"Negatif"
"242",242," kanye west asks donald trump vice president run trump screaming fit rapper says ",-1,"Negatif"
"243",243," left trump photoop tho reason trump actively plotting steal midterm elections next presidential trump scheming challenge elections dont way ",1,"Positif"
"244",244,"kanye west meeting trump maralago plans run president trump running mate lets see pans ",0,"Netral"
"245",245," god bless donald trump bring reelected sleepy joe put back bed lets brandon ",1,"Positif"
"246",246," donald trump runs wins will say now usa will laughing stock laughing elected twice americans wonder theres stereotype theyre idiots ",0,"Netral"
"247",247," strikes youre republican hopefuls demand party sever ties donald trump ",-1,"Negatif"
"248",248,"washington times exnational security adviser john bolton calls old tired hopes president donald trumps onetime national security adviser john bolton called exboss old ",0,"Netral"
"249",249,"donald trump followers ron desantis stick trump want win ",1,"Positif"
"250",250," jean carroll announced thanksgiving filed rape lawsuit donald trump lawsuit trump big deal likely presidential candidate sued rape",-2,"Negatif"
"251",251," president donald trumps onetime national security adviser john bolton called exboss old tired encouraging gop support new ",2,"Positif"
"252",252,"kanye west gave details maralago dinner donald trump drag president knowthat trump conservative going demand hold policies directly bible ",-1,"Negatif"
"253",253," vote donald trump ",0,"Netral"
"254",254,"donald trump dined antisemite holocaust denier trump denied aware views failed denounce will don bacon condemn trump dining antisemites will bacon support trump nominee need answers",-3,"Negatif"
"255",255," happen america donald trump actually won ",0,"Netral"
"256",256," years later suppose donald trump can expect bad hates humans nowthen goes endangered animals normal person say trump ",-1,"Negatif"
"257",257," yep paul ryan asked support donald trump wants win involves winning yep bet theyll jump trumps back pocket ",2,"Positif"
"258",258,"donald trump everpresent republican jews gathered las vegas last week ",0,"Netral"
"259",259," question support donald trump ",1,"Positif"
"260",260," kanye coming kids votes help republican party take keep power dont assume young ones informed far ",0,"Netral"
"261",261,"donald trump announced run white house abc news app",0,"Netral"
"262",262,"donald john trump irritated saw running election ",-1,"Negatif"
"263",263," moderate house republican rep don bacon tells cnns watching january th committee hearings will supporting president donald trump republican primary announces running",0,"Netral"
"264",264," donald trumpstormy daniels ",0,"Netral"
"265",265,"pratte oates suggested donald trump hardpressed win republican party presidential nomination faced gop opponents will gqp intelligence defy trump will dogfight thug excels ",1,"Positif"
"266",266," want see donald trump ron desantis ticket ron desantis terms president will put republicans white house years think years sanity",0,"Netral"
"267",267,"heres proof donald trump doesnt care republican party ",0,"Netral"
"268",268," kanye west reveals trumps reaction vp offer musician fashion designer kanye west donald trump astonished offered role vice president presidential ticket",0,"Netral"
"269",269,"letter editor trump chance win primaries wrest nomination reasonable temperate candidates will happen base remains solid ",3,"Positif"
"271",271," democrats thinks just stole election can beat donald trump gurantee will democrat president elected gi joe biden thank made pretty miserable democrat president win now",1,"Positif"
"272",272," like support donald trump will win antitrumpers will fracture half bt pushing ron desantis",2,"Positif"
"273",273,"mike pence talks trump abortion faith midterms political future ",0,"Netral"
"274",274," coward knows illegally won unjust department announced run garland admitted creepy joe running biden knows beat donald trump fair election pathetic",0,"Netral"
"275",275,"trump hosted holocaust denier maralago estate week announcing presidential bid ",0,"Netral"
"276",276," ticket desantis trump plot twist ivanka donald ",0,"Netral"
"277",277,"kanye west says asked donald trump running mate ",0,"Netral"
"278",278,"donald trump hosted holocaust denier nick fuentes kanye west maralago estate week announcing presidential bid ",0,"Netral"
"279",279,"midterms free feared chaos voting experts look ",0,"Netral"
"282",282,"tonights column return donald trump race republican presidential nomination shaping ",0,"Netral"
"283",283," jackass doesnt know sellby date passed trump told republicans endorse asap suffer consequences ",0,"Netral"
"284",284," just example awful lack judgment donald trump combined past poor judgments untenable general election candidate gop trump poor judgements lie ",-6,"Negatif"
"285",285,"according dinner guest possible rival kanye west donald trump nick nazi fuentes like guy interestingly syphilis reported donald trump ",1,"Positif"
"287",287," proud endorse donald trump president invite special antisemitic thanksgiving dinner",2,"Positif"
"288",288," stefanik weeks ago proud endorse donald trump president ",2,"Positif"
"289",289," fast hes running president united states donald john trump fate isnt sealed hes prison",0,"Netral"
"290",290," hell fox news putting pollsters lying american people donald trump stick dont let divide dont listen liars manipulators",-4,"Negatif"
"291",291," think regrets proud endorse donald trump president ",1,"Positif"
"292",292," found newsbreak simpsons predicts donald trumps presidential run clip ",0,"Netral"
"293",293," new survey potential republican primary voters donald trump run higher registered democratic voters president joe biden ",0,"Netral"
"294",294,"kanye west asks trump running mate presidential bid walked intelligence impressed west video titled maralago debrief ",1,"Positif"
"295",295,"kanye west run president asks donald trump vice president ",0,"Netral"
"296",296,"donald trump announces presidential candidacy ",0,"Netral"
"297",297," shitshow allies embarrassed enemies laughing kanye west says donald trump screamed dinner maralago telling will lose runs president ",-2,"Negatif"
"298",298," donald trump sued president history ",-1,"Negatif"
"299",299," voted donald trump vote presidential makes ron desantis ",0,"Netral"
"300",300," im calling donald trumpjames woods ticket ",0,"Netral"
"301",301," christian petition trumps bid amassed signatures counting faithful america bible teaches love equality dignity values trumps movement clearly rejects ",1,"Positif"
"302",302,"donald trump losing donors presidential campaignhe freaking shefinds ",0,"Netral"
"303",303," single republican wants run commented donald trump breaking bread antisemite nick fuentes desantis pompeo haley pence",-1,"Negatif"
"305",305,"texas republicans prefer ron desantis donald trump poll finds texas tribune ",1,"Positif"
"306",306,"breaking news elon musk endorses donald trump gop presidential nominee big supporter now sides rival musks fame constant tweets may influence voters ",2,"Positif"
"307",307,"christian petition trumps bid amassed signatures counting faithful america bible teaches love equality dignity values trumps movement clearly rejects ",1,"Positif"
"308",308," previously reliable hangerson suddenly sorry im washing hair night daughter actually likes ooo id love im booked ",2,"Positif"
"309",309," direct question asked now lets ask support president donald trump see says",1,"Positif"
"310",310,"kanye west asks donald trump vice president prompts trump yell ",-1,"Negatif"
"311",311,"newsom wont challenge biden california democrat gov will challenge president joe biden presidential democratic nomination bc believes biden beat president donald trump ",0,"Netral"
"312",312," matter donald trump ron desantis runs vote ",0,"Netral"
"313",313,"kanye west says donald trump hurled insults kim kardashian video kanye west released presidential campaign claims donald trump unkind kim kardashian ",-1,"Negatif"
"314",314," democrat news media trying push old melon head guy can barely day fear donald trump reason",-1,"Negatif"
"315",315," recently announced white house run admitted met claimed aware white supremacist going present ",0,"Netral"
"316",316," see lies donald trump telling obsurd believe people brainedwashed baddly makes sad seeing nation fall ",0,"Netral"
"317",317,"elon musk says will back donald trump rival runs president ",-1,"Negatif"
"318",318," president donald trump will vote rd time ",0,"Netral"
"319",319," donald mara bozo trumps baloney campaign toilet",0,"Netral"
"320",320," trump shown judgment chris christie vote president election talk bad judgment chris explaining well currently seeking create lane potus nomination",0,"Netral"
"321",321," donald trumps freaking garbage campaign narrative tatters ",-2,"Negatif"
"322",322," donald trumps faux campaign narrative falling ",-1,"Negatif"
"323",323," donald trump will proud th president ",1,"Positif"
"324",324," asked years ago see donald trump kanye west debating presidential election called crazy whats funny asked years ago doubted ",-1,"Negatif"
"325",325," god bless donald trump ",1,"Positif"
"326",326," first videos shared thursday night rapper asked president donald trump running mate trump announced bid upcoming presidency earlier month turned ",0,"Netral"
"328",328," says exploded asked rappers mate visit ",0,"Netral"
"329",329,"kanye west asks donald trump vice president run trump screaming fit rapper says wed humpty dumpty competing wow contest sucks ",-2,"Negatif"
"330",330,"loser trump will gift democrats white house sean ogrady ",0,"Netral"
"331",331,"kanye west asks donald trump vice president run trump screaming fit rapper says mental",-1,"Negatif"
"332",332," president donald trump loves millions reasons going president wants will able enjoy life america awful fear experience fraudulent reign joe biden",-1,"Negatif"
"333",333,"june case trump ",0,"Netral"
"335",335," dinner grew heated announced run president thursday asked trump running mate trump began insulting yes exwife kim kardashian ",-1,"Negatif"
"336",336,"kanye west asks donald trump vice president run trump screaming fit rapper says ",-1,"Negatif"
"338",338,"elon musk will support donald trumps rival ron desantis presidentialelections ",0,"Netral"
"340",340," waytooearly prediction presidential election will donald trump joe biden will rematch race yr old itll yr old trump will nomination",0,"Netral"
"341",341," true trump entire life ijs kanye west says donald trump screamed dinner maralago telling will lose runs president ",-1,"Negatif"
"342",342," made clear msnbc today donald trump knew holocaust denying white supremacist nick fuentes given fuentes ran america first foundation trumps way base excited run president ",2,"Positif"
"344",344," great news thank current midterms free feared chaos voting experts look ",1,"Positif"
"345",345,"kanye west run usa president donald trump running mate think vaccine made world crazy ",0,"Netral"
"346",346,"facebook bans team factchecking trump announces campaign slay news ",0,"Netral"
"347",347,"donald john trump rapist hes asshole traitor egomaniac biggest conmen walk like lumbering oaf earth hes leader trumpfuentes gop ticket enjoy",1,"Positif"
"348",348,"kanye west asks donald trump vice president ",-1,"Negatif"
"349",349," au contraireye wanted tubby mcnuggets vp im shocked tfg didnt leap offer someones nd ",-1,"Negatif"
"350",350," long ago making excuses current front runner racist stupid criminal aka donald trump",-3,"Negatif"
"351",351," feeling ",0,"Netral"
"352",352,"rapper kanye west announced social media thursday running office president united states ",0,"Netral"
"353",353," quotes biden infringed cold dead hands god bless united states america donald trump president ",-1,"Negatif"
"354",354,"obviously product lakes meeting wtrump marlago trump actively plotting steal midterm elections next presidential trump scheming challenge elections dont way ",0,"Netral"
"356",356," obviously product lakes meeting wtrump marlago trump actively plotting steal midterm elections next presidential trump scheming challenge elections dont way ",0,"Netral"
"357",357," trump dinner meeting intended kanye arrived guest met knew dinner isnt hate race president election meeting ",-1,"Negatif"
"358",358," mayo loves donald trump obsessed ",1,"Positif"
"359",359," doused gasoline lit match political commentator hasan piker reacts kanye west announcing presidency second person donald trump download now ",0,"Netral"
"360",360,"donald campaign mens embroidered mesh back trucker hat buy ebay",0,"Netral"
"361",361," donald trump just announced candidacy election campaigning literally starts years day election asking vote mind",0,"Netral"
"362",362," find job trump touches dies ",0,"Netral"
"363",363," lets hear donald gop presidential candidate special applauds cabinet take bow hasbeen rapper dont shy antisemite new republican party welcome ",1,"Positif"
"364",364,"im ready support kanye think politics think funny beat donald trump gop primary",2,"Positif"
"365",365," support need businessman mess donald trump ",0,"Netral"
"366",366," people ignorant call dinner uninvited racist donalds kanye brought dinner sus kanye wants trump vice president set ",-3,"Negatif"
"367",367," follows week tongue firmly cheek featuring ironic tweets refuses support presidential campaign read ",-1,"Negatif"
"368",368," started screaming telling im going lose reveals president hurled abuses rapper suggested vp winning elections ",0,"Netral"
"370",370,"watch kanye disses donald trump first presidential campaign video world israel news ",-1,"Negatif"
"371",371,"serpent jackal demonicly scripted seeing come reality shows kanye west says donald trump screamed dinner maralago telling will lose runs president ",-1,"Negatif"
